X_rms,X_mean,X_std,X_max,X_min,X_kurt,X_skew,Y_rms,Y_mean,Y_std,Y_max,Y_min,Y_kurt,Y_skew,Z_rms,Z_mean,Z_std,Z_max,Z_min,Z_kurt,Z_skew,X_fft_mean,X_fft_max,Y_fft_mean,Y_fft_max,Z_fft_mean,Z_fft_max,label
0.25722072233783966,-0.08687500000000001,0.24210583300490718,0.35,-0.78,0.9449604384115942,-0.9513177424547454,0.9065921767807176,0.8709375,0.2517483785325141,1.37,-0.04,1.3714533389023922,-0.6088876156406173,8.082372118536735,-8.033281250000002,0.8894556879903784,-5.73,-10.36,0.2795515600691534,0.19746311980580175,1.8396318630773103,5.5600000000000005,3.5310299515952326,55.739999999999995,22.43876692555575,514.1299999999999,no
0.23596543708772266,-0.07921875,0.2222702794987164,0.39,-0.67,0.18618763425788432,-0.4431290356202974,0.9250591197323552,0.89,0.25225854792256297,1.41,-0.04,1.5910571094175188,-0.5988972605361408,8.014718589102177,-7.97140625,0.8321036353489495,-5.73,-10.4,0.3843611909610498,0.10441002634979213,1.6457349440992164,5.07,3.5377283533155914,56.959999999999994,21.871855807383962,510.16999999999996,no
0.21664342824096927,-0.09812499999999999,0.19314724790946414,0.39,-0.63,0.7671534925187791,-0.2715419492040163,1.025102891177271,1.00609375,0.19649759212503726,1.41,0.59,-0.5071955163773492,-0.3051604648772801,9.837136349695474,1.13359375,9.771602569305658,11.77,-10.4,-1.9714536380415522,0.11461050146393567,1.5247494635734675,6.28,3.3567932674123826,64.39,39.778073625645,396.2990363569311,no
0.2044963324854507,-0.12406249999999999,0.16256459052865727,0.16,-0.86,5.599927297585319,-1.7861931460084286,1.08257289015567,1.07421875,0.13423166410514883,1.33,0.59,2.325589826646997,-1.025710760495789,11.453337804980695,10.925625,3.436519348756093,11.77,-8.47,26.987439934802396,-5.379846392611079,1.4420838529372753,7.94,3.105685543337691,68.75,46.435509105402865,699.24,no
0.30410216211003827,-0.13,0.27491475951647265,0.16,-1.84,21.489010271548793,-4.074284858107256,1.0878332822634174,1.0765625,0.15618717486960956,1.65,0.43,5.413930582677596,-0.367703313050104,11.56005318705325,11.55921875,0.13889412208022883,11.96,11.18,1.0991216229057397,-0.056629508864824735,2.2505717280202253,8.32,3.241425340987149,68.9,24.09646199532769,739.79,no
0.30106322010501385,-0.12703124999999998,0.2729507721612773,0.31,-1.84,21.730355113958677,-3.841559750892785,1.0774651966537017,1.0646874999999998,0.1654441819579945,1.65,0.43,3.847228585858537,-0.3180660149319706,11.574944451810557,11.57359375,0.17682412861636695,12.0,11.18,-0.1790925995990449,0.0067430747742397296,2.235127443866342,8.129999999999999,3.302060575551303,68.14,24.421489018782157,740.71,no
0.22627762262318385,-0.12265625,0.19014995881129582,0.43,-0.82,2.1415744239783265,-0.0944731708203419,1.0635369939499049,1.0554687500000002,0.13075417879914009,1.29,0.55,1.950783071451812,-0.9268576695201036,11.597736713471296,11.596562500000001,0.16503047777228902,12.0,11.18,0.2826654879346462,-0.07407566815322218,1.4837494471950943,7.8500000000000005,2.959964706528531,67.55,24.307877861320915,742.1800000000001,no
0.2217332293545557,-0.1303125,0.17939976963126233,0.43,-0.82,2.7793219661081574,-0.2791381257921263,1.038218877453112,1.02984375,0.1316065655122779,1.33,0.55,1.4675187838377335,-0.3600174733310374,11.58952524103123,11.588593750000001,0.14693607440290993,12.0,11.18,1.0419271842087827,0.0005641202484065211,1.5010053676518567,8.34,2.9956741336713413,65.91,24.19574265071141,741.67,yes
0.17475876229820353,-0.1134375,0.13293817583279077,0.12,-0.43,-0.6940631389891521,-0.1967792602466888,1.029894563778254,1.02546875,0.09537638739980404,1.33,0.78,1.1733163642710132,0.4346198254158395,11.576346978861682,11.575624999999999,0.1292874099632287,11.92,11.22,0.4855869698603752,-0.04176060254914016,1.1778278154863198,7.26,2.7244553451816476,65.63000000000001,24.076467191348204,740.84,yes
0.18736661922551734,-0.12624999999999997,0.13844561206481049,0.16,-0.39,-0.8152198406519586,0.059260301315145474,1.0590532328452615,1.053125,0.11189943867151436,1.33,0.82,0.5347442623001055,0.5626322758370432,11.553975100587676,11.553437500000001,0.11145653230632105,11.77,11.26,0.15064469602567065,-0.339313075495496,1.1949555511388898,8.08,2.8768766879297623,67.4,23.849100160234688,739.42,yes
